phase,landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility
up,0.5238638520240784,0.23882319033145905,-0.02336777187883854,0.9999938607215881,0.530249834060669,0.2243489772081375,-0.004196961410343647,0.9999951124191284,0.5336069464683533,0.2244611233472824,-0.004233362153172493,0.9999932050704956,0.5372531414031982,0.2247282862663269,-0.004262931644916534,0.9999949932098389,0.5191934704780579,0.22475184500217438,-0.0034791557118296623,0.999993085861206,0.5152380466461182,0.22524438798427582,-0.00346038187853992,0.9999892711639404,0.511893630027771,0.2258613109588623,-0.0033976100385189056,0.9999903440475464,0.5425664782524109,0.2327079474925995,0.1030995100736618,0.9999933242797852,0.5074697732925415,0.23427516222000122,0.10471943020820618,0.9999850392341614,0.5299720168113708,0.2560712397098541,0.01675417087972164,0.9999821186065674,0.5163812637329102,0.25488829612731934,0.01681496575474739,0.999974250793457,0.5647178292274475,0.3184298276901245,0.10735554248094559,0.9998158812522888,0.4836977422237396,0.31572699546813965,0.11369463056325912,0.9997599720954895,0.5783967971801758,0.3711074888706207,-0.12054133415222168,0.9411458969116211,0.47229883074760437,0.37340816855430603,-0.09287890791893005,0.9006541967391968,0.5777456760406494,0.33624887466430664,-0.3662017285823822,0.9769937992095947,0.47315460443496704,0.3279721438884735,-0.34138116240501404,0.9284247756004333,0.5761523842811584,0.3218855857849121,-0.41762933135032654,0.9652044773101807,0.4758540689945221,0.3065284490585327,-0.3895518481731415,0.8973063826560974,0.5722965598106384,0.30930405855178833,-0.4123508036136627,0.9643756151199341,0.4808748960494995,0.2976628541946411,-0.3862318694591522,0.8984314203262329,0.5705116987228394,0.3131638765335083,-0.3716297447681427,0.9521680474281311,0.48218977451324463,0.30308735370635986,-0.3478074073791504,0.8799181580543518,0.5507907271385193,0.554381787776947,-0.008436694741249084,0.9998829364776611,0.4937904477119446,0.5582654476165771,0.008433908224105835,0.9998666644096375,0.5650907754898071,0.7435814142227173,-0.05992637574672699,0.9886813163757324,0.4836876690387726,0.7586292028427124,-0.027474291622638702,0.9925186634063721,0.5767282247543335,0.9397863149642944,-0.020556874573230743,0.9792730808258057,0.47309064865112305,0.9433359503746033,0.025029240176081657,0.9885843396186829,0.5729585886001587,0.9671244025230408,-0.023878533393144608,0.8459952473640442,0.47685813903808594,0.9695744514465332,0.023100392892956734,0.8298115134239197,0.5921099185943604,0.9928346872329712,-0.14777876436710358,0.9681001901626587,0.44669434428215027,0.9838261604309082,-0.09667553007602692,0.9729200601577759
up,0.521309494972229,0.2466645985841751,-0.07742000371217728,0.9999947547912598,0.5278939008712769,0.23170997202396393,-0.05728995054960251,0.9999961853027344,0.5303294062614441,0.23198413848876953,-0.05731440708041191,0.9999944567680359,0.5338467359542847,0.23217612504959106,-0.05732845142483711,0.9999958872795105,0.5173460245132446,0.23242834210395813,-0.05798383057117462,0.9999951124191284,0.5131086111068726,0.2332475185394287,-0.05797143280506134,0.9999926686286926,0.5091110467910767,0.2341003119945526,-0.057885389775037766,0.9999934434890747,0.5406294465065002,0.24023592472076416,0.05471693351864815,0.9999952912330627,0.5030202269554138,0.24314798414707184,0.05139679089188576,0.9999909400939941,0.5279613137245178,0.26567330956459045,-0.036303937435150146,0.9999891519546509,0.5145329833030701,0.26450085639953613,-0.03762368857860565,0.9999850988388062,0.5630192160606384,0.31992006301879883,0.04708379507064819,0.999809205532074,0.47998297214508057,0.32794779539108276,0.04085796698927879,0.9997727274894714,0.5873336791992188,0.3551532030105591,-0.2257496863603592,0.9559640288352966,0.4689014256000519,0.34894847869873047,-0.24078777432441711,0.9494103789329529,0.581012487411499,0.36211150884628296,-0.48562386631965637,0.9709601402282715,0.47498077154159546,0.354376882314682,-0.518647313117981,0.9437685012817383,0.5733925104141235,0.3613905906677246,-0.5432413220405579,0.9555046558380127,0.47390738129615784,0.3468649387359619,-0.572902262210846,0.9135279059410095,0.5657863020896912,0.35057511925697327,-0.5339862704277039,0.9542578458786011,0.48271653056144714,0.340331494808197,-0.5666432976722717,0.9134361147880554,0.5651707053184509,0.3503763675689697,-0.49086955189704895,0.9397464990615845,0.4864146411418915,0.3439759910106659,-0.525229811668396,0.8959020376205444,0.5580758452415466,0.5812746286392212,-0.0002635554119478911,0.9998940229415894,0.4969659745693207,0.5854241251945496,0.00021285739785525948,0.999873697757721,0.5755800604820251,0.7389366030693054,-0.12553666532039642,0.991612434387207,0.4805023968219757,0.7546829581260681,-0.057841453701257706,0.9943447709083557,0.5757593512535095,0.9505688548088074,-0.10572544485330582,0.9825894236564636,0.47357115149497986,0.9461883902549744,-0.015684690326452255,0.9882084727287292,0.568294882774353,0.9776836037635803,-0.11132826656103134,0.8664002418518066,0.4769357442855835,0.9680953621864319,-0.019618097692728043,0.8356871604919434,0.599568784236908,0.989362359046936,-0.2422122061252594,0.9732524156570435,0.4494646191596985,0.9849525690078735,-0.13957718014717102,0.9729641079902649
down,0.518313467502594,0.5402420163154602,-0.1136166974902153,0.9999921917915344,0.5256720185279846,0.5229398608207703,-0.09882588684558868,0.999990701675415,0.5289942026138306,0.5229926705360413,-0.0987962931394577,0.9999901056289673,0.5321441888809204,0.5232194066047668,-0.0987684354186058,0.9999884963035583,0.5131657719612122,0.5233970284461975,-0.09999100863933563,0.9999881386756897,0.5094473958015442,0.5234924554824829,-0.09999953955411911,0.9999882578849792,0.5058295130729675,0.5236753821372986,-0.09996078908443451,0.9999853372573853,0.5388782620429993,0.5301473140716553,-0.018122930079698563,0.999987006187439,0.5026419162750244,0.5302464962005615,-0.025046687573194504,0.9999884963035583,0.5266919732093811,0.5590263605117798,-0.08441529422998428,0.9999935030937195,0.5119498372077942,0.5575054883956909,-0.08613280951976776,0.9999926090240479,0.5642913579940796,0.613347053527832,-0.003084902185946703,0.9998969435691833,0.47510185837745667,0.6036425828933716,-0.014602839015424252,0.9999361634254456,0.597150981426239,0.6677666902542114,-0.12408033013343811,0.9784549474716187,0.45803868770599365,0.6532511115074158,-0.1357458531856537,0.9816226959228516,0.5863153338432312,0.673252522945404,-0.2947026193141937,0.9740721583366394,0.4656790494918823,0.6618040204048157,-0.30306169390678406,0.9734691381454468,0.5858622193336487,0.6759453415870667,-0.32840508222579956,0.9566223621368408,0.45625782012939453,0.6590247750282288,-0.33381471037864685,0.9542058110237122,0.5734606385231018,0.6657901406288147,-0.3207094967365265,0.9550153613090515,0.4673295021057129,0.660096287727356,-0.3331054747104645,0.9538084268569946,0.5710331201553345,0.6657308340072632,-0.2952802777290344,0.9434516429901123,0.4738757312297821,0.6644408106803894,-0.30664971470832825,0.943472683429718,0.5544499158859253,0.8305547833442688,0.003717566141858697,0.9996343851089478,0.499046266078949,0.8286730647087097,-0.0034471142571419477,0.999586820602417,0.578447699546814,0.7886227369308472,-0.23921652138233185,0.9716713428497314,0.4565645456314087,0.7872576713562012,-0.20215506851673126,0.9752945899963379,0.5696653127670288,0.9611878395080566,-0.17727765440940857,0.924853503704071,0.47848615050315857,0.9535670280456543,-0.12152007222175598,0.9509642124176025,0.5640516877174377,0.9833086729049683,-0.17416681349277496,0.8966866135597229,0.4873757064342499,0.9754284024238586,-0.1166083887219429,0.8967083692550659,0.5888239741325378,0.9896568059921265,-0.24490061402320862,0.9063077569007874,0.45172297954559326,0.9817065000534058,-0.18616488575935364,0.9225819110870361
up,0.5274791121482849,0.21857626736164093,-0.08968796581029892,0.9999868273735046,0.532893717288971,0.20357365906238556,-0.06968033313751221,0.9999879002571106,0.5364688038825989,0.2041008025407791,-0.06969603151082993,0.9999848008155823,0.5401509404182434,0.20486271381378174,-0.06971140950918198,0.9999857544898987,0.523328959941864,0.20317912101745605,-0.0701625794172287,0.9999848008155823,0.519544243812561,0.20353297889232635,-0.07013508677482605,0.9999813437461853,0.5158623456954956,0.20384417474269867,-0.07005558907985687,0.9999796748161316,0.5463845133781433,0.21722948551177979,0.04408852010965347,0.9999861121177673,0.5095565915107727,0.21461497247219086,0.04061584547162056,0.9999812245368958,0.5329988598823547,0.2378552258014679,-0.0480949692428112,0.9999836087226868,0.5210793018341064,0.234636127948761,-0.04915783926844597,0.9999769926071167,0.5666220188140869,0.31183499097824097,0.04731237143278122,0.9996631145477295,0.4843805730342865,0.29856187105178833,0.028281953185796738,0.9997749328613281,0.5816105008125305,0.34577247500419617,-0.25230371952056885,0.9513146281242371,0.47204113006591797,0.32412925362586975,-0.2428954690694809,0.9485190510749817,0.5727786421775818,0.31456267833709717,-0.5127936601638794,0.9636072516441345,0.4753924310207367,0.30971527099609375,-0.5138314962387085,0.9376227855682373,0.5658213496208191,0.30053600668907166,-0.5709074139595032,0.9480331540107727,0.47567427158355713,0.298691987991333,-0.5693174004554749,0.9094673991203308,0.5610931515693665,0.2942522168159485,-0.5654234290122986,0.9466239809989929,0.48152071237564087,0.2910718321800232,-0.5612518787384033,0.9083766937255859,0.5603613257408142,0.299301415681839,-0.5197159647941589,0.9319278001785278,0.4837830662727356,0.2948603928089142,-0.5200998783111572,0.8914182186126709,0.5518625378608704,0.5683590769767761,-0.001576608163304627,0.9998509287834167,0.49532219767570496,0.5688863396644592,0.001555106369778514,0.9998533129692078,0.5656099915504456,0.7644913792610168,-0.03031415306031704,0.9837589859962463,0.48538631200790405,0.7685584425926208,-0.020169135183095932,0.99037104845047,0.5745353102684021,0.952494740486145,0.04193993657827377,0.9627476334571838,0.47803497314453125,0.9542778730392456,0.060179248452186584,0.978795051574707,0.5683640837669373,0.974040150642395,0.040965136140584946,0.8392536044120789,0.483590304851532,0.9747341871261597,0.05969858914613724,0.857688307762146,0.5970937609672546,0.9965941309928894,-0.08119048178195953,0.9459948539733887,0.4528668522834778,0.9940541386604309,-0.061617884784936905,0.9618130922317505
down,0.5199527144432068,0.5228928923606873,-0.14017361402511597,0.9999876618385315,0.5268752574920654,0.5042557716369629,-0.1255023032426834,0.9999855160713196,0.5311576724052429,0.5039449334144592,-0.12548579275608063,0.9999823570251465,0.5337538123130798,0.5039383172988892,-0.12548388540744781,0.9999828934669495,0.5146881937980652,0.5048889517784119,-0.12521812319755554,0.9999825358390808,0.5107982158660889,0.5049098134040833,-0.1252378672361374,0.999979555606842,0.5073930025100708,0.5048691034317017,-0.1252104490995407,0.9999787211418152,0.5403748154640198,0.5103449821472168,-0.04515431821346283,0.9999730587005615,0.5042559504508972,0.5106879472732544,-0.04513173922896385,0.9999733567237854,0.5281151533126831,0.5403637886047363,-0.1115994080901146,0.9999879598617554,0.5132037997245789,0.5398241281509399,-0.11127413064241409,0.9999862313270569,0.5693978071212769,0.5954391360282898,-0.03174266964197159,0.9998762011528015,0.4770742654800415,0.5887316465377808,-0.02996993437409401,0.9999240636825562,0.5994198322296143,0.6642666459083557,-0.15144842863082886,0.9795382618904114,0.4553973078727722,0.6457011699676514,-0.1524256020784378,0.9778455495834351,0.5882388949394226,0.665032148361206,-0.32275980710983276,0.9812811613082886,0.45776504278182983,0.6540282964706421,-0.3325252830982208,0.9773513078689575,0.5875236392021179,0.6674072742462158,-0.3583871126174927,0.9644955992698669,0.4512684643268585,0.6513497233390808,-0.3659975230693817,0.9603224992752075,0.5748651027679443,0.6572951674461365,-0.3510758578777313,0.9637638330459595,0.4635530710220337,0.6506396532058716,-0.36665448546409607,0.9599012732505798,0.5730772018432617,0.6573027968406677,-0.323323518037796,0.9559300541877747,0.4682949185371399,0.6533132195472717,-0.33735159039497375,0.9536575078964233,0.5593918561935425,0.8261919021606445,0.0045578619465231895,0.9993558526039124,0.5023260712623596,0.8231239318847656,-0.004367921035736799,0.9994217753410339,0.5873897671699524,0.7991973757743835,-0.23663857579231262,0.964057981967926,0.45987802743911743,0.7974790334701538,-0.20147870481014252,0.9703392386436462,0.5721104741096497,0.9474459886550903,-0.1450306624174118,0.9014910459518433,0.4790079891681671,0.9468948245048523,-0.09026611596345901,0.9397361874580383,0.5628617405891418,0.9747101068496704,-0.1383492350578308,0.8717311024665833,0.49010664224624634,0.9705471396446228,-0.08215849101543427,0.8836769461631775,0.5915072560310364,0.981040894985199,-0.20772673189640045,0.8763015866279602,0.45210450887680054,0.9783910512924194,-0.1476760059595108,0.9018300771713257
up,0.5304497480392456,0.21332353353500366,-0.07783619314432144,0.9999896287918091,0.5360211730003357,0.19994081556797028,-0.05623740330338478,0.9999905824661255,0.5393660068511963,0.20094390213489532,-0.05625184252858162,0.9999880790710449,0.5432121753692627,0.20218999683856964,-0.05627144128084183,0.9999892711639404,0.5253682732582092,0.1995057910680771,-0.057018060237169266,0.9999875426292419,0.5211726427078247,0.20038729906082153,-0.05697624012827873,0.9999843239784241,0.5171009302139282,0.20148855447769165,-0.05690018832683563,0.9999833106994629,0.5499058365821838,0.21416211128234863,0.05752990394830704,0.999988317489624,0.5107488632202148,0.21318043768405914,0.05321449041366577,0.999982476234436,0.5374500751495361,0.23427030444145203,-0.036655161529779434,0.9999879598617554,0.5234209299087524,0.23304370045661926,-0.03811199963092804,0.9999828338623047,0.5702341794967651,0.3095998764038086,0.049124911427497864,0.9996311068534851,0.49035826325416565,0.3007603883743286,0.03777412697672844,0.9997363090515137,0.5835075378417969,0.3318597376346588,-0.2249629944562912,0.9622828960418701,0.47813111543655396,0.3165459632873535,-0.21758954226970673,0.959665834903717,0.5766423940658569,0.2602311372756958,-0.47029343247413635,0.9677279591560364,0.4784683883190155,0.26781657338142395,-0.4587634205818176,0.9419539570808411,0.5727354288101196,0.2450268566608429,-0.5256368517875671,0.953673779964447,0.47713035345077515,0.2482166737318039,-0.5108081102371216,0.9112623929977417,0.5686053037643433,0.23891808092594147,-0.5154222846031189,0.9522539973258972,0.4830683171749115,0.2427062690258026,-0.5038853287696838,0.9099881052970886,0.5676253437995911,0.24594330787658691,-0.4748974144458771,0.9389430284500122,0.4850577414035797,0.25056201219558716,-0.46531611680984497,0.8965006470680237,0.5586013793945312,0.5691252946853638,-0.003097786335274577,0.9998165369033813,0.5001185536384583,0.5691081285476685,0.0030501687433570623,0.9998197555541992,0.5722864866256714,0.7570858597755432,-0.036756470799446106,0.9827470779418945,0.4881817698478699,0.7649147510528564,-0.031436700373888016,0.9881260395050049,0.5749416351318359,0.9515553712844849,0.03373490273952484,0.9593046307563782,0.47796598076820374,0.9561932682991028,0.043810054659843445,0.9739944934844971,0.5679519176483154,0.9778384566307068,0.033233292400836945,0.8389851450920105,0.48420450091362,0.9778065085411072,0.043071646243333817,0.846240222454071,0.5976656675338745,0.9965699315071106,-0.08898072689771652,0.9430294632911682,0.45400145649909973,0.9964177012443542,-0.08151338249444962,0.9542927145957947
down,0.5217873454093933,0.5245316028594971,-0.1281399130821228,0.999993622303009,0.5283902883529663,0.5069851875305176,-0.11122288554906845,0.9999939203262329,0.5321105718612671,0.5072309374809265,-0.11122336983680725,0.9999929070472717,0.5347513556480408,0.5074303150177002,-0.11119768768548965,0.9999930262565613,0.5162030458450317,0.5075798034667969,-0.11232343316078186,0.9999913573265076,0.5123913884162903,0.507776141166687,-0.11233765631914139,0.9999898672103882,0.5089083909988403,0.5085130333900452,-0.11230165511369705,0.9999886751174927,0.5415128469467163,0.5169633030891418,-0.026134904474020004,0.9999907612800598,0.5058619976043701,0.5177898406982422,-0.03268745541572571,0.9999875426292419,0.5295554399490356,0.5430150628089905,-0.09840728342533112,0.9999934434890747,0.5148043036460876,0.5425663590431213,-0.10003028064966202,0.9999911189079285,0.5692590475082397,0.6092664003372192,-0.015432612039148808,0.9998905062675476,0.47756853699684143,0.6020872592926025,-0.02894529700279236,0.999901294708252,0.5940108895301819,0.6728244423866272,-0.15521040558815002,0.9775784015655518,0.4625564217567444,0.66278076171875,-0.1625175029039383,0.9779736399650574,0.5871046185493469,0.6878174543380737,-0.35653406381607056,0.9834349155426025,0.4708331823348999,0.6780256628990173,-0.348417729139328,0.9779847860336304,0.5874824523925781,0.693327009677887,-0.3971497714519501,0.9720669388771057,0.4639768600463867,0.6787284016609192,-0.3873180150985718,0.9638569951057434,0.5740243196487427,0.6864286065101624,-0.3924863636493683,0.9713263511657715,0.47516775131225586,0.6822041869163513,-0.3875613212585449,0.9634101986885071,0.5717586874961853,0.6851415038108826,-0.35906895995140076,0.9629014134407043,0.48150575160980225,0.6850128769874573,-0.35339099168777466,0.9560249447822571,0.5560624003410339,0.83090740442276,0.00365949934348464,0.9996141791343689,0.5007651448249817,0.8275754451751709,-0.003424314083531499,0.9995837211608887,0.5916361212730408,0.7894963622093201,-0.2245807945728302,0.9687204957008362,0.4518214166164398,0.7864308953285217,-0.2135097086429596,0.9792175889015198,0.5683714747428894,0.951163649559021,-0.15958952903747559,0.9183657169342041,0.47641420364379883,0.9514316320419312,-0.12125539034605026,0.9469776153564453,0.5617945790290833,0.9769558310508728,-0.15708962082862854,0.8829671144485474,0.4862498641014099,0.9760355353355408,-0.11596239358186722,0.8860015869140625,0.5937476754188538,0.9772699475288391,-0.22939027845859528,0.8945310115814209,0.44102391600608826,0.9801477789878845,-0.18700064718723297,0.9126366376876831
up,0.5277439951896667,0.21679407358169556,-0.054114941507577896,0.9999854564666748,0.5334199666976929,0.20070603489875793,-0.033717863261699677,0.9999872446060181,0.5365623831748962,0.20137201249599457,-0.033745426684617996,0.999984085559845,0.5405018329620361,0.20213563740253448,-0.033771879971027374,0.9999849796295166,0.5229466557502747,0.20022530853748322,-0.03370527923107147,0.9999834895133972,0.5186920762062073,0.2006036937236786,-0.033670824021101,0.9999799132347107,0.5145536661148071,0.201145738363266,-0.03360917791724205,0.999977171421051,0.5465401411056519,0.21413098275661469,0.0794214978814125,0.9999858140945435,0.5080245137214661,0.21269631385803223,0.07798073440790176,0.9999802708625793,0.5335145592689514,0.2363651543855667,-0.012285326607525349,0.9999831914901733,0.52030348777771,0.234344482421875,-0.01301490142941475,0.9999768733978271,0.5674678087234497,0.30208152532577515,0.07210217416286469,0.9995989799499512,0.48467540740966797,0.29586923122406006,0.06655396521091461,0.9997708797454834,0.5826332569122314,0.33828243613243103,-0.199403777718544,0.9418172240257263,0.47209519147872925,0.3166183829307556,-0.1847865730524063,0.95399010181427,0.5761117339134216,0.29164233803749084,-0.4538259208202362,0.9544236063957214,0.4761343002319336,0.28846991062164307,-0.43292099237442017,0.9420713782310486,0.5719192028045654,0.27293822169303894,-0.508994996547699,0.9416519403457642,0.476725697517395,0.27877235412597656,-0.4834170937538147,0.91660475730896,0.5679447650909424,0.2678743898868561,-0.5007684230804443,0.940733015537262,0.4819519817829132,0.27092480659484863,-0.47665348649024963,0.9158560633659363,0.5662612915039062,0.27635887265205383,-0.4590671956539154,0.9251022338867188,0.4840891659259796,0.2753887176513672,-0.43903806805610657,0.8990268707275391,0.5595526099205017,0.5558576583862305,-0.006665962748229504,0.9998040199279785,0.500730574131012,0.5587577819824219,0.006642633117735386,0.9998093843460083,0.5712367296218872,0.7533239126205444,-0.04685831815004349,0.9808006882667542,0.49165108799934387,0.7619216442108154,-0.027020929381251335,0.9876473546028137,0.5766506195068359,0.9588428735733032,0.011990970931947231,0.9568789005279541,0.47799769043922424,0.9550095200538635,0.04520363360643387,0.9729486107826233,0.5713270902633667,0.9816415309906006,0.010444296523928642,0.8282149434089661,0.4813636541366577,0.9760684370994568,0.04614096134901047,0.845525860786438,0.603095293045044,0.9975487589836121,-0.11368115246295929,0.9352693557739258,0.45401471853256226,0.9938687682151794,-0.0759589895606041,0.9504576921463013
down,0.5234709978103638,0.5216189026832581,-0.11867190152406693,0.9999964833259583,0.5303181409835815,0.503324031829834,-0.10330220311880112,0.9999966621398926,0.5343483686447144,0.5035368204116821,-0.10331370681524277,0.9999958872795105,0.5369981527328491,0.5037654042243958,-0.10329698771238327,0.9999959468841553,0.5181668996810913,0.5036669373512268,-0.10623355954885483,0.9999954104423523,0.5144495964050293,0.5038330554962158,-0.10623256862163544,0.9999945163726807,0.5111905336380005,0.5041552782058716,-0.10619781911373138,0.9999942779541016,0.5438403487205505,0.5126066207885742,-0.022241828963160515,0.9999942183494568,0.5082780718803406,0.5120419263839722,-0.0358281210064888,0.9999931454658508,0.5316873788833618,0.5401410460472107,-0.09031612426042557,0.9999959468841553,0.5167542099952698,0.5394040942192078,-0.09397635608911514,0.9999949336051941,0.5708153247833252,0.6039830446243286,-0.005826957523822784,0.9999268651008606,0.47884050011634827,0.5984492897987366,-0.02192229963839054,0.9999285936355591,0.5897698998451233,0.6767910718917847,-0.09643629193305969,0.9729278087615967,0.4637145698070526,0.6819448471069336,-0.1078353300690651,0.975451648235321,0.5855862498283386,0.6901795268058777,-0.28059592843055725,0.9827463030815125,0.4696741998195648,0.705734372138977,-0.25895798206329346,0.9744595289230347,0.5876208543777466,0.7010610103607178,-0.3191389739513397,0.9724864959716797,0.4669704735279083,0.7113833427429199,-0.295801043510437,0.9592280387878418,0.5745593905448914,0.6973069906234741,-0.3190280497074127,0.9724698066711426,0.4759717881679535,0.7084303498268127,-0.2977500557899475,0.9591119289398193,0.5717617869377136,0.6943058371543884,-0.28484317660331726,0.9648217558860779,0.4799326956272125,0.7076868414878845,-0.26414185762405396,0.9520225524902344,0.5557337999343872,0.8198289275169373,0.004381545819342136,0.9995728135108948,0.49920547008514404,0.8186885118484497,-0.004121857695281506,0.9994639754295349,0.5957230925559998,0.7913727164268494,-0.23128002882003784,0.9751179814338684,0.45398885011672974,0.7876289486885071,-0.21630986034870148,0.9803308248519897,0.5659815073013306,0.9582400918006897,-0.16300398111343384,0.9325346946716309,0.47789594531059265,0.9550714492797852,-0.12670855224132538,0.9506848454475403,0.5584231615066528,0.9814183115959167,-0.15969981253147125,0.8936110734939575,0.48772409558296204,0.9785932898521423,-0.12088104337453842,0.8942441344261169,0.597098708152771,0.9842519164085388,-0.22873367369174957,0.9095038175582886,0.442142516374588,0.9845844507217407,-0.1898716539144516,0.9223347902297974
up,0.5324278473854065,0.21187232434749603,-0.05623298138380051,0.9999856352806091,0.5378962159156799,0.19744214415550232,-0.03543074056506157,0.9999880194664001,0.5413663387298584,0.1986389458179474,-0.03544064238667488,0.999984622001648,0.5451019406318665,0.20006544888019562,-0.0354512520134449,0.9999864101409912,0.527714192867279,0.1962060034275055,-0.035525742918252945,0.9999846816062927,0.5237218737602234,0.19683633744716644,-0.035493154078722,0.9999802112579346,0.5194915533065796,0.19763243198394775,-0.03543607518076897,0.9999794363975525,0.5512501001358032,0.2140190750360489,0.07730737328529358,0.999987006187439,0.5121887922286987,0.2110036313533783,0.07549519091844559,0.9999807476997375,0.5379754304885864,0.23235690593719482,-0.014814249239861965,0.9999806880950928,0.5246272683143616,0.22994160652160645,-0.01570279151201248,0.9999728202819824,0.571696937084198,0.30087175965309143,0.07468051463365555,0.9996210336685181,0.48983505368232727,0.2962448000907898,0.06499838083982468,0.9997650384902954,0.5864160656929016,0.3418475389480591,-0.18999473750591278,0.9530839323997498,0.47849270701408386,0.32433152198791504,-0.1793261617422104,0.9476644992828369,0.5772790312767029,0.28901559114456177,-0.4370274841785431,0.9592576622962952,0.4849037826061249,0.2894567847251892,-0.4158516228199005,0.9345396757125854,0.5736255645751953,0.2725379467010498,-0.4892768859863281,0.9447516202926636,0.4853648543357849,0.28066205978393555,-0.4652385711669922,0.9041987657546997,0.5698784589767456,0.2663611173629761,-0.47842299938201904,0.9429730772972107,0.4898260235786438,0.2747243344783783,-0.45482879877090454,0.9027501344680786,0.5683090686798096,0.27377671003341675,-0.4406043291091919,0.9277617931365967,0.49163779616355896,0.27929845452308655,-0.41987597942352295,0.8855729103088379,0.5595652461051941,0.5602051019668579,-0.008148346096277237,0.9998347163200378,0.5010575652122498,0.5606367588043213,0.00812020618468523,0.9998285174369812,0.5712157487869263,0.7523166537284851,-0.036903735250234604,0.9809580445289612,0.48605966567993164,0.7581550478935242,-0.02800614759325981,0.9882265329360962,0.576869547367096,0.9524087309837341,0.02710864320397377,0.9572523236274719,0.4769602119922638,0.9526758193969727,0.0402955636382103,0.9727185964584351,0.5706337094306946,0.9770541787147522,0.0259757861495018,0.8235132694244385,0.4818197786808014,0.9747833013534546,0.03930000960826874,0.8540499210357666,0.601112961769104,0.9968616366386414,-0.09849164634943008,0.9390956163406372,0.44903624057769775,0.9912382960319519,-0.08433659374713898,0.9528684616088867
